,Num Seq deste Período Letivo,Periodos Cursados,Data Última Alteração Matrícula,Nível de Ensino,Previsão de Término (Letivo),Tipo_Escola_Origem,Fluxo Escolar - Label,Dt Ref Início Matrícula,Idade (Hoje),Matrícula retida?,Cód. da Matriz,Etnia,Periodo Letivo (Num),Última Alteração de Situação,CH. Disc. Obrigatórias,Dt Ref Início Período Letivo,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Modalidade do Curso,Estado Aluno,Cód. do Curso,Data Início Período,Forma de Ingresso,Faixa Etária,Sexo,Data Final Período,Ingressantes em (Período Letivo),Duracao curso,CH. Disc. Optativas,Tipo de Modalidade,Tipo de Modalidade (grupo),Estrutura Etária,CH,Campus (Nome),É matrícula retida neste período letivo?,Cidade Aluno
2064,1,1,2015-07-09 12:00:00,Técnico,2015/2,E,Evadidos,2015-01-01 00:00:00,32,Dentro do prazo,5929,Parda,20151,2015-07-09 00:00:00,800,2015-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11203,2015-05-12 00:00:00,Matrícula Especial,30 a 34 anos,F,2016-01-25 00:00:00,20151,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itapipoca
2067,1,3,2019-02-27 19:37:00,Básico,2017/2,E,Evadidos,2017-01-01 00:00:00,26,Fora do prazo,7275,Parda,20171,2019-02-27 00:00:00,160,2017-01-01 00:00:00,Fic,2017,Fic,CE,111022,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,F,2017-11-16 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
2070,3,3,2017-12-29 10:07:00,Técnico,2018/1,E,Evadidos,2016-01-07 00:00:00,28,Dentro do prazo,4928,Preta,20172,2017-12-29 00:00:00,1480,2017-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11202,2017-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2018-06-04 00:00:00,20162,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
2071,1,1,2016-06-06 18:24:00,Técnico,2017/1,E,Evadidos,2015-01-07 00:00:00,25,Dentro do prazo,4928,Preta,20152,2016-06-06 00:00:00,1480,2015-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11202,2016-01-25 00:00:00,Seleção Técnico,25 a 29 anos,M,2016-06-22 00:00:00,20152,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
2074,1,2,2017-05-12 15:14:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,22,Dentro do prazo,5158,Parda,20162,2017-05-12 00:00:00,1240,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11200,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Itarema
2085,1,2,2018-12-27 13:40:00,Técnico,2018/2,E,Evadidos,2018-01-01 00:00:00,23,Dentro do prazo,5929,Branca,20181,2018-12-27 00:00:00,800,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-06-04 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-11-26 00:00:00,20181,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2089,3,4,2018-12-27 13:40:00,Técnico,2018/2,E,Evadidos,2017-01-01 00:00:00,24,Dentro do prazo,5158,Parda,20182,2018-12-27 00:00:00,1240,2018-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11200,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,M,2019-05-22 00:00:00,20171,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
2092,1,2,2019-12-04 12:24:00,Técnico,2019/2,E,Evadidos,2019-01-01 00:00:00,20,Dentro do prazo,7083,Parda,20192,2019-12-04 00:00:00,800,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11204,2019-10-31 00:00:00,Seleção Técnico,20 a 24 anos,F,2020-04-27 00:00:00,20191,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Cruz
2098,5,6,2017-11-24 18:26:00,Graduação,2018/2,E,Evadidos,2015-01-01 00:00:00,24,Dentro do prazo,4496,Branca,20172,2017-11-24 00:00:00,2860,2017-01-07 00:00:00,Licenciatura,2015,Licenciatura,CE,11401,2017-11-16 00:00:00,Sisu,20 a 24 anos,F,2018-06-04 00:00:00,20151,8,80,Regular,Regular,Adulto (20 a 59 anos),2940,Acaraú,Não Retida,Acaraú
2100,1,1,2019-11-07 17:24:00,Técnico,2021/1,E,Evadidos,2019-01-07 00:00:00,30,Dentro do prazo,4928,Não dispõe da informação,20192,2019-11-07 00:00:00,1480,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11202,2019-10-31 00:00:00,Seleção Técnico,30 a 34 anos,M,2020-04-27 00:00:00,20192,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Fortaleza
2103,5,5,2019-12-04 12:29:00,Técnico,2019/1,P,Evadidos,2017-01-07 00:00:00,24,Fora do prazo,5158,Branca,20192,2019-12-04 00:00:00,1240,2019-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11200,2019-10-31 00:00:00,Seleção Técnico,20 a 24 anos,M,2020-04-27 00:00:00,20172,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Retida,Acaraú
2110,1,2,2017-05-12 15:36:00,Técnico,2016/2,E,Evadidos,2016-01-01 00:00:00,26,Dentro do prazo,5929,Parda,20162,2017-05-12 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11203,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2116,1,1,2016-12-12 11:22:00,Básico,2016/2,E,Evadidos,2016-01-01 00:00:00,43,Dentro do prazo,7274,Não dispõe da informação,20161,2016-12-12 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,40 a 44 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Bela Cruz
2117,1,1,2016-07-13 00:00:00,Básico,2016/2,E,Evadidos,2016-01-01 00:00:00,26,Dentro do prazo,7275,Parda,20161,2016-07-13 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111022,2016-07-11 00:00:00,Seleção Extensão,25 a 29 anos,M,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
2120,1,2,2019-12-04 12:24:00,Técnico,2020/2,E,Evadidos,2019-01-01 00:00:00,27,Dentro do prazo,9894,Parda,20192,2019-12-04 00:00:00,1320,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11205,2019-10-31 00:00:00,Seleção Técnico,25 a 29 anos,F,2020-04-27 00:00:00,20191,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1320,Acaraú,Não Retida,Itarema
2125,1,1,2016-06-06 18:24:00,Básico,2015/2,E,Evadidos,2015-01-07 00:00:00,32,Dentro do prazo,6352,Parda,20152,2016-06-06 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111019,2016-02-03 00:00:00,Seleção Extensão,30 a 34 anos,M,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
2126,1,3,2019-12-04 12:24:00,Técnico,2019/1,E,Evadidos,2018-01-07 00:00:00,21,Fora do prazo,7083,Parda,20182,2019-12-04 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2127,1,5,2019-06-14 13:04:00,Básico,2017/2,E,Evadidos,2017-01-01 00:00:00,26,Fora do prazo,7275,Branca,20171,2019-06-14 00:00:00,160,2017-01-01 00:00:00,Fic,2017,Fic,CE,111022,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,M,2017-11-16 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
2129,9,9,2019-05-22 00:00:00,Graduação,2018/2,E,Evadidos,2015-01-01 00:00:00,23,Fora do prazo,4017,Parda,20191,2019-05-22 00:00:00,2960,2019-01-01 00:00:00,Licenciatura,2015,Licenciatura,CE,11400,2019-05-22 00:00:00,Sisu,20 a 24 anos,F,2019-10-31 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Retida,Itarema
2133,1,1,2018-11-05 17:15:00,Graduação,2021/2,E,Evadidos,2018-01-01 00:00:00,22,Dentro do prazo,4017,Parda,20181,2018-11-05 00:00:00,2960,2018-01-01 00:00:00,Licenciatura,2018,Licenciatura,CE,11400,2018-06-04 00:00:00,Sisu,20 a 24 anos,M,2018-11-26 00:00:00,20181,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Itarema
2137,1,2,2017-12-29 10:07:00,Técnico,2018/2,E,Evadidos,2017-01-01 00:00:00,21,Dentro do prazo,4928,Parda,20171,2017-12-29 00:00:00,1480,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11202,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20171,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
2138,1,2,2017-08-15 16:21:00,Pós-graduação,2016/1,E,Evadidos,2016-01-01 00:00:00,42,Dentro do prazo,6991,Parda,20162,2017-08-15 00:00:00,360,2016-01-07 00:00:00,Especialização,2016,Especialização,CE,11700,2017-03-17 00:00:00,Seleção Pós-graduação,40 a 44 anos,M,2018-08-24 00:00:00,20161,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Não Retida,Itarema
2139,1,2,2017-05-12 15:30:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,6427,Parda,20162,2017-05-12 00:00:00,1080,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11201,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Acaraú
2141,1,2,2018-11-20 00:00:00,Básico,2018/2,E,Evadidos,2018-01-01 00:00:00,23,Dentro do prazo,7274,Não quis declarar cor/raça,20181,2018-11-20 00:00:00,160,2018-01-01 00:00:00,Fic,2018,Fic,CE,111021,2018-06-12 00:00:00,Seleção Extensão,20 a 24 anos,F,2018-11-26 00:00:00,20181,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Cruz
2144,1,1,2016-07-08 13:17:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,4928,Parda,20161,2016-07-08 00:00:00,1480,2016-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11202,2016-06-22 00:00:00,Seleção Técnico,20 a 24 anos,M,2016-11-16 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Bela Cruz
2145,1,1,2016-07-08 13:17:00,Técnico,2016/2,E,Evadidos,2016-01-01 00:00:00,27,Dentro do prazo,7083,Não dispõe da informação,20161,2016-07-08 00:00:00,800,2016-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11204,2016-06-22 00:00:00,Seleção Técnico,25 a 29 anos,F,2016-11-16 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2154,1,1,2019-11-07 17:24:00,Técnico,2020/1,E,Evadidos,2019-01-07 00:00:00,37,Dentro do prazo,5929,Parda,20192,2019-11-07 00:00:00,800,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11203,2019-10-31 00:00:00,Seleção Técnico,35 a 39 anos,F,2020-04-27 00:00:00,20192,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itarema
2156,1,4,2019-06-14 13:04:00,Graduação,2021/1,E,Evadidos,2017-01-07 00:00:00,26,Dentro do prazo,7334,Parda,20172,2019-06-14 00:00:00,3200,2017-01-07 00:00:00,Licenciatura,2017,Licenciatura,CE,11401,2017-11-16 00:00:00,Sisu,25 a 29 anos,F,2018-06-04 00:00:00,20172,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Itarema
2157,7,8,2019-12-04 12:24:00,Graduação,2019/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,7334,Parda,20192,2019-12-04 00:00:00,3200,2019-01-07 00:00:00,Licenciatura,2016,Licenciatura,CE,11401,2019-10-31 00:00:00,Sisu,20 a 24 anos,M,2020-04-27 00:00:00,20161,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Marco
2158,1,1,2018-06-11 19:21:00,Graduação,2021/2,E,Evadidos,2018-01-01 00:00:00,20,Dentro do prazo,4017,Preta,20181,2018-06-11 00:00:00,2960,2018-01-01 00:00:00,Licenciatura,2018,Licenciatura,CE,11400,2018-06-04 00:00:00,Sisu,20 a 24 anos,M,2018-11-26 00:00:00,20181,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Caucaia
2159,3,2,2018-12-07 10:27:00,Técnico,2018/1,E,Evadidos,2017-01-07 00:00:00,39,Fora do prazo,7083,Parda,20181,2018-12-07 00:00:00,800,2018-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11204,2018-06-04 00:00:00,Seleção Técnico,35 a 39 anos,M,2018-11-26 00:00:00,20172,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Acaraú
2160,1,2,2016-12-01 18:28:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,37,Dentro do prazo,5158,Não dispõe da informação,20162,2016-12-01 00:00:00,1240,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11200,2016-11-16 00:00:00,Seleção Técnico,35 a 39 anos,F,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
2165,3,3,2017-12-29 10:07:00,Graduação,2020/1,E,Evadidos,2016-01-07 00:00:00,23,Dentro do prazo,7334,Parda,20172,2017-12-29 00:00:00,3200,2017-01-07 00:00:00,Licenciatura,2016,Licenciatura,CE,11401,2017-11-16 00:00:00,Sisu,20 a 24 anos,F,2018-06-04 00:00:00,20162,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Acaraú
2166,1,1,2016-03-22 17:23:00,Graduação,2019/1,E,Evadidos,2015-01-07 00:00:00,22,Dentro do prazo,4496,Parda,20152,2016-03-22 00:00:00,2860,2015-01-07 00:00:00,Licenciatura,2015,Licenciatura,CE,11401,2016-01-25 00:00:00,Sisu,20 a 24 anos,M,2016-06-22 00:00:00,20152,8,80,Regular,Regular,Adulto (20 a 59 anos),2940,Acaraú,Não Retida,Bela Cruz
2178,3,3,2017-06-22 15:24:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,24,Dentro do prazo,6427,Não dispõe da informação,20171,2017-06-22 00:00:00,1080,2017-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11201,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Bela Cruz
2180,1,1,2016-11-11 00:00:00,Básico,2017/1,E,Evadidos,2016-01-07 00:00:00,24,Dentro do prazo,7276,Parda,20162,2016-11-11 00:00:00,160,2016-01-07 00:00:00,Fic,2016,Fic,CE,111023,2016-11-23 00:00:00,Seleção Extensão,20 a 24 anos,F,2017-05-22 00:00:00,20162,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
2181,1,2,2016-02-26 11:13:00,Técnico,2015/2,E,Evadidos,2015-01-01 00:00:00,23,Dentro do prazo,5929,Parda,20152,2016-02-26 00:00:00,800,2015-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11203,2016-01-25 00:00:00,Seleção Técnico,20 a 24 anos,F,2016-06-22 00:00:00,20151,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2188,1,1,2016-06-06 18:24:00,Básico,2015/2,E,Evadidos,2015-01-07 00:00:00,25,Dentro do prazo,6352,Parda,20152,2016-06-06 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111019,2016-02-03 00:00:00,Seleção Extensão,25 a 29 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
2191,7,7,2018-06-25 19:26:00,Técnico,2015/2,E,Evadidos,2015-01-01 00:00:00,25,Fora do prazo,5929,Parda,20181,2018-06-25 00:00:00,800,2018-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11203,2018-06-04 00:00:00,Seleção Técnico,25 a 29 anos,F,2018-11-26 00:00:00,20151,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Acaraú
2195,1,2,2018-12-07 11:05:00,Graduação,2021/1,E,Evadidos,2017-01-07 00:00:00,24,Dentro do prazo,7334,Parda,20172,2018-12-07 00:00:00,3200,2017-01-07 00:00:00,Licenciatura,2017,Licenciatura,CE,11401,2017-11-16 00:00:00,Sisu,20 a 24 anos,F,2018-06-04 00:00:00,20172,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Itarema
2196,1,2,2019-12-04 12:24:00,Técnico,2020/2,E,Evadidos,2019-01-01 00:00:00,24,Dentro do prazo,4928,Parda,20192,2019-12-04 00:00:00,1480,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11202,2019-10-31 00:00:00,Seleção Técnico,20 a 24 anos,M,2020-04-27 00:00:00,20191,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
2197,1,1,2019-11-07 17:24:00,Técnico,2021/1,E,Evadidos,2019-01-07 00:00:00,22,Dentro do prazo,5158,Preta,20192,2019-11-07 00:00:00,1240,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11200,2019-10-31 00:00:00,Seleção Técnico,20 a 24 anos,F,2020-04-27 00:00:00,20192,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Itarema
2199,1,1,2016-02-19 00:00:00,Básico,2015/2,E,Evadidos,2015-01-07 00:00:00,26,Dentro do prazo,6342,Parda,20152,2016-02-19 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111018,2016-02-03 00:00:00,Seleção Extensão,25 a 29 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Bela Cruz
2201,1,2,2019-06-14 13:04:00,Técnico,2020/1,E,Evadidos,2018-01-07 00:00:00,30,Dentro do prazo,9884,Parda,20182,2019-06-14 00:00:00,1240,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11205,2018-11-26 00:00:00,Seleção Técnico,30 a 34 anos,F,2019-05-22 00:00:00,20182,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
2202,7,7,2018-12-20 16:59:00,Técnico,2016/1,M,Evadidos,2015-01-07 00:00:00,42,Fora do prazo,5929,Parda,20182,2018-12-20 00:00:00,800,2018-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,40 a 44 anos,F,2019-05-22 00:00:00,20152,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Marco
2210,1,2,2018-06-25 19:25:00,Técnico,2019/1,E,Evadidos,2017-01-07 00:00:00,24,Dentro do prazo,6427,Parda,20172,2018-06-25 00:00:00,1080,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11201,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20172,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Acaraú
2217,9,9,2019-06-14 13:03:00,Técnico,2016/2,E,Evadidos,2015-01-01 00:00:00,25,Fora do prazo,5158,Parda,20191,2019-06-14 00:00:00,1240,2019-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11200,2019-05-22 00:00:00,Seleção Técnico,25 a 29 anos,F,2019-10-31 00:00:00,20151,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Retida,Itarema
2224,7,8,2018-12-20 16:59:00,Graduação,2018/2,E,Evadidos,2015-01-01 00:00:00,34,Dentro do prazo,7334,Não dispõe da informação,20182,2018-12-20 00:00:00,3200,2018-01-07 00:00:00,Licenciatura,2015,Licenciatura,CE,11401,2018-11-26 00:00:00,Transferência Externa,30 a 34 anos,M,2019-05-22 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Acaraú
2225,1,2,2017-05-12 15:29:00,Técnico,2016/2,E,Evadidos,2016-01-01 00:00:00,24,Dentro do prazo,7083,Parda,20161,2017-05-12 00:00:00,800,2016-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11204,2016-06-22 00:00:00,Seleção Técnico,20 a 24 anos,F,2016-11-16 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2226,1,1,2016-05-20 00:00:00,Básico,2016/1,E,Evadidos,2015-01-07 00:00:00,27,Dentro do prazo,7275,Parda,20152,2016-05-20 00:00:00,160,2015-01-07 00:00:00,Fic,2015,Fic,CE,111022,2016-02-03 00:00:00,Seleção Extensão,25 a 29 anos,F,2016-07-11 00:00:00,20152,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
2227,1,2,2019-06-14 13:04:00,Técnico,2020/1,E,Evadidos,2018-01-07 00:00:00,34,Dentro do prazo,5158,Branca,20182,2019-06-14 00:00:00,1240,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11200,2018-11-26 00:00:00,Seleção Técnico,30 a 34 anos,M,2019-05-22 00:00:00,20182,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Cruz
2230,7,8,2019-12-04 12:29:00,Graduação,2019/2,E,Evadidos,2016-01-01 00:00:00,22,Dentro do prazo,7334,Parda,20192,2019-12-04 00:00:00,3200,2019-01-07 00:00:00,Licenciatura,2016,Licenciatura,CE,11401,2019-10-31 00:00:00,Sisu,20 a 24 anos,F,2020-04-27 00:00:00,20161,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Itarema
2233,1,2,2018-12-27 13:40:00,Técnico,2018/2,E,Evadidos,2018-01-01 00:00:00,30,Dentro do prazo,7083,Parda,20181,2018-12-27 00:00:00,800,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-06-04 00:00:00,Seleção Técnico,30 a 34 anos,M,2018-11-26 00:00:00,20181,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
2239,1,2,2019-06-14 13:04:00,Técnico,2020/1,E,Evadidos,2018-01-07 00:00:00,27,Dentro do prazo,5158,Branca,20182,2019-06-14 00:00:00,1240,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11200,2018-11-26 00:00:00,Seleção Técnico,25 a 29 anos,F,2019-05-22 00:00:00,20182,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
2241,1,2,2016-02-26 14:32:00,Técnico,2016/2,E,Evadidos,2015-01-01 00:00:00,41,Dentro do prazo,5158,Não dispõe da informação,20152,2016-02-26 00:00:00,1240,2015-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11200,2016-01-25 00:00:00,Seleção Técnico,40 a 44 anos,F,2016-06-22 00:00:00,20151,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
2242,1,1,2017-01-12 15:01:00,Básico,2016/2,E,Evadidos,2016-01-01 00:00:00,25,Dentro do prazo,7274,Branca,20161,2017-01-12 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,25 a 29 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
2247,1,1,2016-04-05 18:26:00,Básico,2015/1,E,Evadidos,2015-01-01 00:00:00,39,Dentro do prazo,6352,Não dispõe da informação,20151,2016-04-05 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111019,2015-05-27 00:00:00,Seleção Extensão,35 a 39 anos,F,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
2250,1,2,2018-12-27 13:40:00,Técnico,2019/2,E,Evadidos,2018-01-01 00:00:00,27,Dentro do prazo,9894,Branca,20181,2018-12-27 00:00:00,1320,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11205,2018-06-04 00:00:00,Seleção Técnico,25 a 29 anos,M,2018-11-26 00:00:00,20181,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1320,Acaraú,Não Retida,Itarema
2253,3,2,2017-06-07 11:11:00,Graduação,2020/1,E,Evadidos,2016-01-07 00:00:00,28,Dentro do prazo,4017,Parda,20171,2017-06-07 00:00:00,2960,2017-01-01 00:00:00,Licenciatura,2016,Licenciatura,CE,11400,2017-05-15 00:00:00,Sisu,25 a 29 anos,M,2017-11-16 00:00:00,20162,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Itarema
2254,1,3,2018-12-07 10:27:00,Técnico,2018/2,E,Evadidos,2017-01-01 00:00:00,22,Dentro do prazo,4928,Não dispõe da informação,20171,2018-12-07 00:00:00,1480,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11202,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20171,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
2261,3,2,2017-08-04 15:10:00,Graduação,2020/1,E,Evadidos,2016-01-07 00:00:00,29,Dentro do prazo,4017,Parda,20171,2017-08-04 00:00:00,2960,2017-01-01 00:00:00,Licenciatura,2016,Licenciatura,CE,11400,2017-05-15 00:00:00,Sisu,25 a 29 anos,M,2017-11-16 00:00:00,20162,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Irauçuba
