,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
2283,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,6427,11201,2018-11-26,2018-06-04,2018-11-09,2016-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,5,20181,2017/2,Ampla Concorrência,F,Educação Profissional,E,Retida,2018-11-09,1080,1080,0,4,25,5
2288,Formados,Acaraú,Dentro do prazo,20191,Fic,Básico,Regular,Acaraú,7274,111021,2019-11-04,2019-05-22,2019-10-18,2019-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2019,1,20191,2019/2,Não possui,M,Regular,E,Não Retida,2019-10-18,160,160,0,2,26,1
2291,Formados,Acaraú,Dentro do prazo,20151,Licenciatura,Graduação,Regular,Bela Cruz,4496,11401,2019-05-22,2018-11-26,2019-06-05,2015-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Sisu,Licenciatura,2015,7,20182,2018/2,"L6 Esc Publica, Indep. Renda, Raca",M,Regular,E,Não Retida,2019-06-05,3260,3260,0,8,25,8
2292,Formados,Acaraú,Fora do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2019-05-22,2018-11-26,2019-10-18,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2019/1,"L1 Esc Publica, Renda<1.5sm",F,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,20,2
2316,Formados,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Marco,7083,11204,2017-05-15,2016-11-16,2017-04-19,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,1,20162,2016/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2017-04-19,800,800,0,2,28,2
2317,Formados,Acaraú,Fora do prazo,20171,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2017-11-16,2017-05-15,2018-11-09,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20171,2017/2,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2018-11-09,800,800,0,2,24,3
2321,Formados,Acaraú,Fora do prazo,20162,Fic,Básico,Regular,Acaraú,7274,111021,2017-11-16,2017-05-22,2017-10-25,2016-01-07,2017-01-01,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Extensão,Fic,2016,3,20171,2017/1,Não possui,F,Regular,E,Retida,2017-10-25,160,160,0,2,25,2
2326,Formados,Acaraú,Dentro do prazo,20171,Fic,Básico,Regular,Acaraú,7274,111021,2018-06-12,2017-11-16,2018-05-16,2017-01-01,2017-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2017,1,20172,2017/2,Não possui,M,Regular,F,Não Retida,2018-05-16,160,160,0,2,27,2
2338,Formados,Acaraú,Dentro do prazo,20191,Fic,Básico,Regular,Acaraú,7274,111021,2019-11-04,2019-05-22,2019-10-18,2019-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Branca,25 a 29 anos,Seleção Extensão,Fic,2019,1,20191,2019/2,Não possui,M,Regular,E,Não Retida,2019-10-18,160,160,0,2,26,1
2347,Formados,Acaraú,Dentro do prazo,20171,Fic,Básico,Regular,Acaraú,7275,111022,2017-11-16,2017-05-22,2018-05-16,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2017,1,20171,2017/2,Não possui,F,Regular,E,Não Retida,2018-05-16,160,160,0,2,27,2
